SeqID;Mock_reference;DA1_MOCK_A;DA1_MOCK_B;DA1_MOCK_C;DA2_MOCK_A;DA2_MOCK_B;DA2_MOCK_C;DA3_MOCK_A;DA3_MOCK_B;DA3_MOCK_C;DA4_MOCK_A;DA4_MOCK_B;DA4_MOCK_C;DA5_MOCK_A;DA5_MOCK_B;DA5_MOCK_C;DA6_MOCK_A;DA6_MOCK_B;DA6_MOCK_C;DA7_MOCK_A;DA7_MOCK_B;DA7_MOCK_C;DA8_MOCK_A;DA8_MOCK_B;DA8_MOCK_C;DA9_MOCK_A;DA9_MOCK_B;DA9_MOCK_C;DA10_MOCK_A;DA10_MOCK_B;DA10_MOCK_C;DA11_MOCK_A;DA11_MOCK_B;DA11_MOCK_C;DA12_MOCK_A;DA12_MOCK_B;DA12_MOCK_C;DA13_MOCK_A;DA13_MOCK_B;DA13_MOCK_C;DA14_MOCK_A;DA14_MOCK_B;DA14_MOCK_C;DA15_MOCK_A;DA15_MOCK_B;DA15_MOCK_C;DA16_MOCK_A;DA16_MOCK_B;DA16_MOCK_C;DA17_MOCK_A;DA17_MOCK_B;DA17_MOCK_C;DA18_MOCK_A;DA18_MOCK_B;DA18_MOCK_C;DA19_MOCK_A;DA19_MOCK_B;DA19_MOCK_C;DA20_MOCK_A;DA20_MOCK_B;DA20_MOCK_C;DA21_MOCK_A;DA21_MOCK_B;DA21_MOCK_C;DA22_MOCK_A;DA22_MOCK_B;DA22_MOCK_C;DA23_MOCK_A;DA23_MOCK_B;DA23_MOCK_C;DA24_MOCK_A;DA24_MOCK_B;DA24_MOCK_C;DA25_MOCK_A;DA25_MOCK_B;DA25_MOCK_C;DA26_MOCK_A;DA26_MOCK_B;DA26_MOCK_C;DA27_MOCK_A;DA27_MOCK_B;DA27_MOCK_C;DA28_MOCK_A;DA28_MOCK_B;DA28_MOCK_C;DA29_MOCK_A;DA29_MOCK_B;DA29_MOCK_C;DA30_MOCK_A;DA30_MOCK_B;DA30_MOCK_C;DA31_MOCK_A;DA31_MOCK_B;DA31_MOCK_C;DA32_MOCK_A;DA32_MOCK_B;DA32_MOCK_C;DA33_MOCK_A;DA33_MOCK_B;DA33_MOCK_C;DA34_MOCK_A;DA34_MOCK_B;DA34_MOCK_C;DA35_MOCK_A;DA35_MOCK_B;DA35_MOCK_C;DA36_MOCK_A;DA36_MOCK_B;DA36_MOCK_C;DA37_MOCK_A;DA37_MOCK_B;DA37_MOCK_C;DA38_MOCK_A;DA38_MOCK_B;DA38_MOCK_C;DA39_MOCK_A;DA39_MOCK_B;DA39_MOCK_C;DA40_MOCK_A;DA40_MOCK_B;DA40_MOCK_C;DA41_MOCK_A;DA41_MOCK_B;DA41_MOCK_C;DA42_MOCK_A;DA42_MOCK_B;DA42_MOCK_C;DA43_MOCK_A;DA43_MOCK_B;DA43_MOCK_C;DA44_MOCK_A;DA44_MOCK_B;DA44_MOCK_C;DA45_MOCK_A;DA45_MOCK_B;DA45_MOCK_C;DA46_MOCK_A;DA46_MOCK_B;DA46_MOCK_C;DA47_MOCK_A;DA47_MOCK_B;DA47_MOCK_C;DA48_MOCK_A;DA48_MOCK_B;DA48_MOCK_C;VU1_MOCK_A;VU1_MOCK_B;VU1_MOCK_C;VU2_MOCK_A;VU2_MOCK_B;VU2_MOCK_C;VU3_MOCK_A;VU3_MOCK_B;VU3_MOCK_C;VU4_MOCK_A;VU4_MOCK_B;VU4_MOCK_C;VU5_MOCK_A;VU5_MOCK_B;VU5_MOCK_C;VU6_MOCK_A;VU6_MOCK_B;VU6_MOCK_C;VU7_MOCK_A;VU7_MOCK_B;VU7_MOCK_C;VU8_MOCK_A;VU8_MOCK_B;VU8_MOCK_C;VU9_MOCK_A;VU9_MOCK_B;VU9_MOCK_C;VU10_MOCK_A;VU10_MOCK_B;VU10_MOCK_C;VU11_MOCK_A;VU11_MOCK_B;VU11_MOCK_C;VU12_MOCK_A;VU12_MOCK_B;VU12_MOCK_C;VU13_MOCK_A;VU13_MOCK_B;VU13_MOCK_C;VU14_MOCK_A;VU14_MOCK_B;VU14_MOCK_C;VU15_MOCK_A;VU15_MOCK_B;VU15_MOCK_C;VU16_MOCK_A;VU16_MOCK_B;VU16_MOCK_C;VU17_MOCK_A;VU17_MOCK_B;VU17_MOCK_C;VU18_MOCK_A;VU18_MOCK_B;VU18_MOCK_C;VU19_MOCK_A;VU19_MOCK_B;VU19_MOCK_C;VU20_MOCK_A;VU20_MOCK_B;VU20_MOCK_C;VU21_MOCK_A;VU21_MOCK_B;VU21_MOCK_C;VU22_MOCK_A;VU22_MOCK_B;VU22_MOCK_C;VU23_MOCK_A;VU23_MOCK_B;VU23_MOCK_C;VU24_MOCK_A;VU24_MOCK_B;VU24_MOCK_C;VU25_MOCK_A;VU25_MOCK_B;VU25_MOCK_C;VU26_MOCK_A;VU26_MOCK_B;VU26_MOCK_C;VU27_MOCK_A;VU27_MOCK_B;VU27_MOCK_C;VU28_MOCK_A;VU28_MOCK_B;VU28_MOCK_C;VU29_MOCK_A;VU29_MOCK_B;VU29_MOCK_C;VU30_MOCK_A;VU30_MOCK_B;VU30_MOCK_C;VU31_MOCK_A;VU31_MOCK_B;VU31_MOCK_C;VU32_MOCK_A;VU32_MOCK_B;VU32_MOCK_C;DE1_MOCK_C;DE1_MOCK_A;DE1_MOCK_B;DE2_MOCK_C;DE2_MOCK_A;DE2_MOCK_B;DE3_MOCK_C;DE3_MOCK_A;DE3_MOCK_B;DE4_MOCK_C;DE4_MOCK_A;DE4_MOCK_B;DE5_MOCK_C;DE5_MOCK_A;DE5_MOCK_B;DE6_MOCK_C;DE6_MOCK_A;DE6_MOCK_B;DE7_MOCK_C;DE7_MOCK_A;DE7_MOCK_B;DE8_MOCK_C;DE8_MOCK_A;DE8_MOCK_B;DE9_MOCK_C;DE9_MOCK_A;DE9_MOCK_B;DE10_MOCK_C;DE10_MOCK_A;DE10_MOCK_B;DE11_MOCK_C;DE11_MOCK_A;DE11_MOCK_B;DE12_MOCK_C;DE12_MOCK_A;DE12_MOCK_B;DE13_MOCK_C;DE13_MOCK_A;DE13_MOCK_B;DE14_MOCK_C;DE14_MOCK_A;DE14_MOCK_B;DE15_MOCK_C;DE15_MOCK_A;DE15_MOCK_B;DE16_MOCK_C;DE16_MOCK_A;DE16_MOCK_B;DE17_MOCK_C;DE17_MOCK_A;DE17_MOCK_B;DE18_MOCK_C;DE18_MOCK_A;DE18_MOCK_B;DE19_MOCK_C;DE19_MOCK_A;DE19_MOCK_B;DE20_MOCK_C;DE20_MOCK_A;DE20_MOCK_B;DE21_MOCK_C;DE21_MOCK_A;DE21_MOCK_B;DE22_MOCK_C;DE22_MOCK_A;DE22_MOCK_B;DE23_MOCK_C;DE23_MOCK_A;DE23_MOCK_B;DE24_MOCK_C;DE24_MOCK_A;DE24_MOCK_B;DE25_MOCK_C;DE25_MOCK_A;DE25_MOCK_B;DE26_MOCK_C;DE26_MOCK_A;DE26_MOCK_B;DE27_MOCK_C;DE27_MOCK_A;DE27_MOCK_B;DE28_MOCK_C;DE28_MOCK_A;DE28_MOCK_B;DE29_MOCK_C;DE29_MOCK_A;DE29_MOCK_B;DE30_MOCK_C;DE30_MOCK_A;DE30_MOCK_B;DE31_MOCK_C;DE31_MOCK_A;DE31_MOCK_B;DE32_MOCK_C;DE32_MOCK_A;DE32_MOCK_B
Alistipes;NA;0;3;0;0;3;0;NA;NA;NA;0;3;0;0;3;0;0;3;0;NA;NA;NA;0;3;0;0;3;0;0;3;0;NA;NA;NA;0;3;0;0;3;0;0;3;0;NA;NA;NA;0;3;0;0;3;0;0;3;0;NA;NA;NA;0;3;0;0;3;0;0;3;0;NA;NA;NA;0;3;0;0;3;0;0;3;0;NA;NA;NA;0;3;0;0;3;0;0;3;0;NA;NA;NA;0;3;0;0;3;0;0;3;0;NA;NA;NA;0;3;0;0;3;0;0;3;0;NA;NA;NA;0;3;0;0;3;0;0;3;0;NA;NA;NA;0;3;0;0;3;0;0;3;0;NA;NA;NA;0;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Anaerobacillus;NA;NA;NA;NA;NA;NA;NA;5115;3795;4324;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4599;3394;3920;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3779;2729;3183;NA;NA;NA;NA;NA;NA;NA;NA;NA;4924;3594;4188;NA;NA;NA;NA;NA;NA;NA;NA;NA;4924;3600;4222;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3779;2729;3183;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;2812;3327;2471;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3998;4603;3487;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Aureibacillus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;591;365;495;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Azotobacter;NA;NA;NA;NA;NA;NA;NA;1271;838;1144;NA;NA;NA;NA;NA;NA;NA;NA;NA;1271;838;1144;NA;NA;NA;NA;NA;NA;NA;NA;NA;2007;1386;1734;NA;NA;NA;NA;NA;NA;NA;NA;NA;2007;1386;1734;NA;NA;NA;NA;NA;NA;NA;NA;NA;1620;1120;1457;NA;NA;NA;NA;NA;NA;NA;NA;NA;1620;1120;1457;NA;NA;NA;NA;NA;NA;NA;NA;NA;2213;1532;1911;NA;NA;NA;NA;NA;NA;NA;NA;NA;2213;1532;1911;NA;NA;NA;NA;NA;NA;NA;NA;NA;1112;715;998;NA;NA;NA;NA;NA;NA;NA;NA;NA;1112;715;998;NA;NA;NA;NA;NA;NA;NA;NA;NA;1880;1302;1649;NA;NA;NA;NA;NA;NA;NA;NA;NA;1880;1302;1649;NA;NA;NA;NA;NA;NA;NA;NA;NA;751;427;652;NA;NA;NA;NA;NA;NA;NA;NA;NA;751;427;652;NA;NA;NA;NA;NA;NA;NA;NA;NA;1257;797;1123;NA;NA;NA;NA;NA;NA;NA;NA;NA;1083;687;972;NA;NA;NA;NA;NA;NA;NA;NA;NA;746;425;644;NA;NA;NA;NA;NA;NA;NA;NA;NA;751;427;652;NA;NA;NA;NA;NA;NA;NA;NA;NA;1246;789;1111;NA;NA;NA;NA;NA;NA;NA;NA;NA;1067;674;957;NA;NA;NA;NA;NA;NA;NA;NA;NA;652;751;427;NA;NA;NA;NA;NA;NA;NA;NA;NA;652;751;427;NA;NA;NA;NA;NA;NA;NA;NA;NA;1097;1216;769;NA;NA;NA;NA;NA;NA;NA;NA;NA;962;1068;672;NA;NA;NA;NA;NA;NA;NA;NA;NA;644;746;425;NA;NA;NA;NA;NA;NA;NA;NA;NA;652;751;427;NA;NA;NA;NA;NA;NA;NA;NA;NA;1085;1205;761;NA;NA;NA;NA;NA;NA;NA;NA;NA;948;1052;659;NA;NA;NA
Bacillus;0.174;5716;4207;4844;5716;4207;4844;NA;NA;NA;5716;4207;4844;601;412;520;5716;4207;4844;NA;NA;NA;5716;4207;4844;7428;5595;6387;7428;5595;6387;NA;NA;NA;7428;5595;6387;7428;5595;6387;7428;5595;6387;NA;NA;NA;7428;5595;6387;6884;5117;5898;6884;5117;5898;NA;NA;NA;6884;5117;5898;6884;5117;5898;6884;5117;5898;NA;NA;NA;6884;5117;5898;7985;6051;6872;7985;6051;6872;NA;NA;NA;7985;6051;6872;7985;6051;6872;7985;6051;6872;NA;NA;NA;7985;6051;6872;5132;3752;4374;5132;3752;4374;NA;NA;NA;5132;3752;4374;5132;3752;4374;5132;3752;4374;NA;NA;NA;5144;3752;4374;7042;5301;6079;7042;5301;6079;NA;NA;NA;7042;5301;6079;7042;5301;6079;7042;5301;6079;NA;NA;NA;7057;5301;6079;3779;2729;3183;3779;2729;3183;NA;NA;NA;3779;2729;3183;NA;NA;NA;3779;2729;3183;NA;NA;NA;3779;2729;3183;9277;6739;8021;9277;6739;8021;NA;NA;NA;9277;6739;8021;4924;3600;4222;4924;3600;4222;NA;NA;NA;4924;3600;4222;3704;2681;3120;3704;2681;3120;NA;NA;NA;3704;2681;3120;3779;2729;3183;3779;2729;3183;NA;NA;NA;3779;2729;3183;9087;6604;7876;9097;6604;7886;NA;NA;NA;9097;6604;7886;4786;3522;4118;4797;3522;4118;NA;NA;NA;4797;3522;4118;NA;NA;NA;2812;3327;2471;NA;NA;NA;2812;3327;2471;2812;3327;2471;2812;3327;2471;NA;NA;NA;2812;3327;2471;4089;4704;3542;4089;4704;3542;NA;NA;NA;4089;4704;3542;3718;4308;3254;3718;4308;3254;NA;NA;NA;3718;4308;3254;2759;3263;2430;2759;3263;2430;NA;NA;NA;2759;3263;2430;2812;3327;2471;2812;3327;2471;NA;NA;NA;2812;3327;2471;3998;4603;3487;3998;4603;3487;NA;NA;NA;3998;4603;3487;3629;4201;3193;3629;4201;3193;NA;NA;NA;3629;4201;3193
Bacteroides;NA;2;4;0;2;4;0;2;4;0;2;4;0;2;4;0;2;4;0;2;4;0;2;4;0;3;5;0;3;5;0;3;5;0;3;5;0;3;5;0;3;5;0;3;5;0;3;5;0;2;4;0;2;4;0;2;4;0;2;4;0;2;4;0;2;4;0;2;4;0;2;4;0;3;5;0;3;5;0;3;5;0;3;5;0;3;5;0;3;5;0;3;5;0;3;5;0;2;4;0;2;4;0;2;4;0;2;4;0;2;4;0;2;4;0;2;4;0;2;4;0;3;4;0;3;4;0;3;4;0;3;4;0;3;4;0;3;4;0;3;4;0;3;4;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Blautia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;3;0;0;3;0;0;3;0;NA;NA;NA;0;3;0;0;3;0;0;3;0;NA;NA;NA;0;4;0;0;4;0;0;4;0;NA;NA;NA;0;4;0;0;4;0;0;4;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Candidatus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Enterococcus;0.099;3293;2368;2771;3293;2368;2771;3293;2368;2771;3293;2368;2771;3293;2368;2771;3293;2368;2771;3293;2368;2771;3293;2368;2771;4134;3015;3517;4134;3015;3517;4134;3015;3517;4134;3015;3517;4134;3015;3517;4134;3015;3517;4134;3015;3517;4134;3015;3517;3780;2740;3223;3780;2740;3223;3780;2740;3223;3780;2740;3223;3780;2740;3223;3780;2740;3223;3780;2740;3223;3780;2740;3223;4346;3194;3740;4346;3194;3740;4346;3194;3740;4346;3194;3740;4346;3194;3740;4346;3194;3740;4346;3194;3740;4346;3194;3740;2624;1849;2184;2624;1849;2184;2624;1849;2184;2624;1849;2184;3032;2156;2526;2624;1849;2184;3032;2156;2526;3032;2156;2526;3204;2320;2725;3204;2320;2725;3204;2320;2725;3204;2320;2725;3916;2839;3342;3204;2320;2725;3916;2839;3359;3916;2839;3342;9;0;0;2595;1762;2146;1859;1328;1618;2595;1762;2146;9;0;0;2595;1762;2146;1868;1328;1618;2595;1762;2146;467;281;420;3160;2068;2717;2859;2071;2457;3170;2068;2727;800;522;700;4236;3102;3865;2563;1876;2217;4236;3102;3865;9;0;0;2536;1730;2100;1829;1314;1591;9;0;0;9;0;0;2595;1762;2146;1868;1328;1618;2595;1762;2146;1012;628;880;3657;2375;3136;2804;2044;2421;1012;628;880;1025;660;972;4369;3192;4075;2501;1852;2181;1025;660;972;1610;1859;1328;1610;1859;1328;1610;1859;1328;1610;1859;1328;1610;1859;1328;1610;1859;1328;1610;1859;1328;1610;1859;1328;2384;2794;2034;2384;2794;2034;2384;2794;2034;2384;2794;2034;2186;2541;1854;2186;2541;1854;2186;2541;1854;2186;2541;1854;1591;1829;1314;1591;1829;1314;1591;1829;1314;1591;1829;1314;1610;1859;1328;1610;1859;1328;1610;1859;1328;1610;1859;1328;2355;2740;2007;2355;2740;2007;2355;2740;2007;2355;2740;2007;2155;2480;1830;2155;2480;1830;2155;2480;1830;2155;2480;1830
Erysipelatoclostridium;NA;NA;NA;NA;2;3;0;2;3;0;2;3;0;NA;NA;NA;2;3;0;2;3;0;2;3;0;NA;NA;NA;4;3;0;4;3;0;4;3;0;NA;NA;NA;4;3;0;4;3;0;4;3;0;NA;NA;NA;2;3;0;2;3;0;2;3;0;NA;NA;NA;2;3;0;2;3;0;2;3;0;NA;NA;NA;4;3;0;4;3;0;4;3;0;NA;NA;NA;4;3;0;4;3;0;4;3;0;NA;NA;NA;0;3;0;0;3;0;0;3;0;NA;NA;NA;0;3;0;0;3;0;0;3;0;NA;NA;NA;0;3;0;0;3;0;0;3;0;NA;NA;NA;0;3;0;0;3;0;0;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
