SettingID;SampleID;Sample;prep_number;process_tool;taxonomy
Mock_reference;Mock_reference;Mock_reference;Mock_reference;Mock_reference;Mock_reference
DA1;DA1_MOCK_A;MOCK_A;PREP1;dada_0;idtaxa
DA1;DA1_MOCK_B;MOCK_B;PREP1;dada_0;idtaxa
DA1;DA1_MOCK_C;MOCK_C;PREP1;dada_0;idtaxa
DA10;DA10_MOCK_A;MOCK_A;PREP2;dada_0;assigntaxonomy
DA10;DA10_MOCK_B;MOCK_B;PREP2;dada_0;assigntaxonomy
DA10;DA10_MOCK_C;MOCK_C;PREP2;dada_0;assigntaxonomy
DA11;DA11_MOCK_A;MOCK_A;PREP2;dada_0;sintax
DA11;DA11_MOCK_B;MOCK_B;PREP2;dada_0;sintax
DA11;DA11_MOCK_C;MOCK_C;PREP2;dada_0;sintax
DA12;DA12_MOCK_A;MOCK_A;PREP2;dada_0;qiime_taxonomy
DA12;DA12_MOCK_B;MOCK_B;PREP2;dada_0;qiime_taxonomy
DA12;DA12_MOCK_C;MOCK_C;PREP2;dada_0;qiime_taxonomy
DA13;DA13_MOCK_A;MOCK_A;PREP2;dada_1;idtaxa
DA13;DA13_MOCK_B;MOCK_B;PREP2;dada_1;idtaxa
DA13;DA13_MOCK_C;MOCK_C;PREP2;dada_1;idtaxa
DA14;DA14_MOCK_A;MOCK_A;PREP2;dada_1;assigntaxonomy
DA14;DA14_MOCK_B;MOCK_B;PREP2;dada_1;assigntaxonomy
DA14;DA14_MOCK_C;MOCK_C;PREP2;dada_1;assigntaxonomy
DA15;DA15_MOCK_A;MOCK_A;PREP2;dada_1;sintax
DA15;DA15_MOCK_B;MOCK_B;PREP2;dada_1;sintax
DA15;DA15_MOCK_C;MOCK_C;PREP2;dada_1;sintax
DA16;DA16_MOCK_A;MOCK_A;PREP2;dada_1;qiime_taxonomy
DA16;DA16_MOCK_B;MOCK_B;PREP2;dada_1;qiime_taxonomy
DA16;DA16_MOCK_C;MOCK_C;PREP2;dada_1;qiime_taxonomy
DA17;DA17_MOCK_A;MOCK_A;PREP3;dada_0;idtaxa
DA17;DA17_MOCK_B;MOCK_B;PREP3;dada_0;idtaxa
DA17;DA17_MOCK_C;MOCK_C;PREP3;dada_0;idtaxa
DA18;DA18_MOCK_A;MOCK_A;PREP3;dada_0;assigntaxonomy
DA18;DA18_MOCK_B;MOCK_B;PREP3;dada_0;assigntaxonomy
DA18;DA18_MOCK_C;MOCK_C;PREP3;dada_0;assigntaxonomy
DA19;DA19_MOCK_A;MOCK_A;PREP3;dada_0;sintax
DA19;DA19_MOCK_B;MOCK_B;PREP3;dada_0;sintax
DA19;DA19_MOCK_C;MOCK_C;PREP3;dada_0;sintax
DA2;DA2_MOCK_A;MOCK_A;PREP1;dada_0;assigntaxonomy
DA2;DA2_MOCK_B;MOCK_B;PREP1;dada_0;assigntaxonomy
DA2;DA2_MOCK_C;MOCK_C;PREP1;dada_0;assigntaxonomy
DA20;DA20_MOCK_A;MOCK_A;PREP3;dada_0;qiime_taxonomy
DA20;DA20_MOCK_B;MOCK_B;PREP3;dada_0;qiime_taxonomy
DA20;DA20_MOCK_C;MOCK_C;PREP3;dada_0;qiime_taxonomy
DA21;DA21_MOCK_A;MOCK_A;PREP3;dada_1;idtaxa
DA21;DA21_MOCK_B;MOCK_B;PREP3;dada_1;idtaxa
DA21;DA21_MOCK_C;MOCK_C;PREP3;dada_1;idtaxa
DA22;DA22_MOCK_A;MOCK_A;PREP3;dada_1;assigntaxonomy
DA22;DA22_MOCK_B;MOCK_B;PREP3;dada_1;assigntaxonomy
DA22;DA22_MOCK_C;MOCK_C;PREP3;dada_1;assigntaxonomy
DA23;DA23_MOCK_A;MOCK_A;PREP3;dada_1;sintax
DA23;DA23_MOCK_B;MOCK_B;PREP3;dada_1;sintax
DA23;DA23_MOCK_C;MOCK_C;PREP3;dada_1;sintax
DA24;DA24_MOCK_A;MOCK_A;PREP3;dada_1;qiime_taxonomy
DA24;DA24_MOCK_B;MOCK_B;PREP3;dada_1;qiime_taxonomy
DA24;DA24_MOCK_C;MOCK_C;PREP3;dada_1;qiime_taxonomy
DA25;DA25_MOCK_A;MOCK_A;PREP4;dada_0;idtaxa
DA25;DA25_MOCK_B;MOCK_B;PREP4;dada_0;idtaxa
DA25;DA25_MOCK_C;MOCK_C;PREP4;dada_0;idtaxa
DA26;DA26_MOCK_A;MOCK_A;PREP4;dada_0;assigntaxonomy
DA26;DA26_MOCK_B;MOCK_B;PREP4;dada_0;assigntaxonomy
DA26;DA26_MOCK_C;MOCK_C;PREP4;dada_0;assigntaxonomy
DA27;DA27_MOCK_A;MOCK_A;PREP4;dada_0;sintax
DA27;DA27_MOCK_B;MOCK_B;PREP4;dada_0;sintax
DA27;DA27_MOCK_C;MOCK_C;PREP4;dada_0;sintax
DA28;DA28_MOCK_A;MOCK_A;PREP4;dada_0;qiime_taxonomy
DA28;DA28_MOCK_B;MOCK_B;PREP4;dada_0;qiime_taxonomy
DA28;DA28_MOCK_C;MOCK_C;PREP4;dada_0;qiime_taxonomy
DA29;DA29_MOCK_A;MOCK_A;PREP4;dada_1;idtaxa
DA29;DA29_MOCK_B;MOCK_B;PREP4;dada_1;idtaxa
DA29;DA29_MOCK_C;MOCK_C;PREP4;dada_1;idtaxa
DA3;DA3_MOCK_A;MOCK_A;PREP1;dada_0;sintax
DA3;DA3_MOCK_B;MOCK_B;PREP1;dada_0;sintax
DA3;DA3_MOCK_C;MOCK_C;PREP1;dada_0;sintax
DA30;DA30_MOCK_A;MOCK_A;PREP4;dada_1;assigntaxonomy
DA30;DA30_MOCK_B;MOCK_B;PREP4;dada_1;assigntaxonomy
DA30;DA30_MOCK_C;MOCK_C;PREP4;dada_1;assigntaxonomy
DA31;DA31_MOCK_A;MOCK_A;PREP4;dada_1;sintax
DA31;DA31_MOCK_B;MOCK_B;PREP4;dada_1;sintax
DA31;DA31_MOCK_C;MOCK_C;PREP4;dada_1;sintax
DA32;DA32_MOCK_A;MOCK_A;PREP4;dada_1;qiime_taxonomy
DA32;DA32_MOCK_B;MOCK_B;PREP4;dada_1;qiime_taxonomy
DA32;DA32_MOCK_C;MOCK_C;PREP4;dada_1;qiime_taxonomy
DA33;DA33_MOCK_A;MOCK_A;PREP5;dada_0;idtaxa
DA33;DA33_MOCK_B;MOCK_B;PREP5;dada_0;idtaxa
DA33;DA33_MOCK_C;MOCK_C;PREP5;dada_0;idtaxa
DA34;DA34_MOCK_A;MOCK_A;PREP5;dada_0;assigntaxonomy
DA34;DA34_MOCK_B;MOCK_B;PREP5;dada_0;assigntaxonomy
DA34;DA34_MOCK_C;MOCK_C;PREP5;dada_0;assigntaxonomy
DA35;DA35_MOCK_A;MOCK_A;PREP5;dada_0;sintax
DA35;DA35_MOCK_B;MOCK_B;PREP5;dada_0;sintax
DA35;DA35_MOCK_C;MOCK_C;PREP5;dada_0;sintax
DA36;DA36_MOCK_A;MOCK_A;PREP5;dada_0;qiime_taxonomy
DA36;DA36_MOCK_B;MOCK_B;PREP5;dada_0;qiime_taxonomy
DA36;DA36_MOCK_C;MOCK_C;PREP5;dada_0;qiime_taxonomy
