SeqID;Kingdom;Phylum;Class;Order;Family;Genus;Species;Color
Alistipes;Alistipes;Alistipes;Alistipes;Alistipes;Alistipes;Alistipes;unassigned;
Anaerobacillus;Anaerobacillus;Anaerobacillus;Anaerobacillus;Anaerobacillus;Anaerobacillus;Anaerobacillus;unassigned;
Aureibacillus;Aureibacillus;Aureibacillus;Aureibacillus;Aureibacillus;Aureibacillus;Aureibacillus;unassigned;
Azotobacter;Azotobacter;Azotobacter;Azotobacter;Azotobacter;Azotobacter;Azotobacter;unassigned;
Bacillus;Bacillus;Bacillus;Bacillus;Bacillus;Bacillus;Bacillus;unassigned;#adcd37
Bacteroides;Bacteroides;Bacteroides;Bacteroides;Bacteroides;Bacteroides;Bacteroides;unassigned;
Blautia;Blautia;Blautia;Blautia;Blautia;Blautia;Blautia;unassigned;
Candidatus;Candidatus;Candidatus;Candidatus;Candidatus;Candidatus;Candidatus;unassigned;
Enterococcus;Enterococcus;Enterococcus;Enterococcus;Enterococcus;Enterococcus;Enterococcus;unassigned;#801323
Erysipelatoclostridium;Erysipelatoclostridium;Erysipelatoclostridium;Erysipelatoclostridium;Erysipelatoclostridium;Erysipelatoclostridium;Erysipelatoclostridium;unassigned;
Escherichia-Shigella;Escherichia-Shigella;Escherichia-Shigella;Escherichia-Shigella;Escherichia-Shigella;Escherichia-Shigella;Escherichia-Shigella;unassigned;#ef3b23
"f__Bacillaceae;g__unassigned";"f__Bacillaceae;g__unassigned";"f__Bacillaceae;g__unassigned";"f__Bacillaceae;g__unassigned";"f__Bacillaceae;g__unassigned";"f__Bacillaceae;g__unassigned";"f__Bacillaceae;g__unassigned";unassigned;
"f__Enterobacteriaceae;g__unassigned";"f__Enterobacteriaceae;g__unassigned";"f__Enterobacteriaceae;g__unassigned";"f__Enterobacteriaceae;g__unassigned";"f__Enterobacteriaceae;g__unassigned";"f__Enterobacteriaceae;g__unassigned";"f__Enterobacteriaceae;g__unassigned";unassigned;
"f__Lactobacillaceae;g__unassigned";"f__Lactobacillaceae;g__unassigned";"f__Lactobacillaceae;g__unassigned";"f__Lactobacillaceae;g__unassigned";"f__Lactobacillaceae;g__unassigned";"f__Lactobacillaceae;g__unassigned";"f__Lactobacillaceae;g__unassigned";unassigned;
